"ID","路线编号","所在行政区划代码","路线名称","起点名称","止点名称","起点桩号","止点桩号","里程（公里）","技术等级代码","技术等级","是否一幅高速","车道数量(个)","面层类型代码","面层类型","路基宽度(米)","路面宽度(米)","面层厚度(厘米)","设计时速(公里/小时)","修建年度","改建年度","最近一次修复养护年度","断链类型","是否城管路段","是否断头路段","路段收费性质","重复路段线路编号","重复路段起点桩号","重复路段终点桩号","养护里程","可绿化里程","已绿化里程","地貌代码","地貌汉字","涵洞数量(个)","管养单位名称","省际出入口","国道调整前路线编号","是否按干线公路管理接养","备注","F40","startx","starty","endx","endy"
"3","G108","140224","京昆线","下北泉","马头关","282","284.804","2.804","12","二级","否","2","11","沥青混凝土","12","11.5","9","60","1998","2009","","0","否","否","非收费","","","","2.804","0","0","1","山岭","10","灵丘公路管理段","1","G108","是","修路，封闭交通，无交通量","","MTE0LjQyNzc3NQ==","MzkuMjkzMjg1","MTE0LjM5OTg4ODYx","MzkuMjk5MjI4MjY="
"6","G108","140224","京昆线","站上","东庄","315.778","320.896","5.118","12","二级","否","2","11","沥青混凝土","10","9.5","9","60","1969","2018","","0","否","否","非收费","","","","5.118","4.606","4.14","1","山岭","11","灵丘公路管理段","0","G108","是","修路，封闭交通，无交通量","","MTE0LjEzNjU0Njg4","MzkuMTk4MTgwMTM=","MTE0LjA5MTg4NTMz","MzkuMTk3NTI2"
"7","G108","140224","京昆线","东庄","牛帮口","320.896","338.51","17.614","12","二级","否","2","11","沥青混凝土","10","9.5","9","60","1969","2018","","0","否","否","非收费","","","","17.614","15.853","14.267","1","山岭","57","灵丘公路管理段","0","G108","是","修路，封闭交通，无交通量","","MTE0LjA5MTg4NTMz","MzkuMTk3NTI2","MTEzLjk2Mzk2MTM=","MzkuMTIwOTI5NzE="
"8","G108","140224","京昆线","牛帮口","马头山","338.51","340.947","2.437","11","一级","否","4","11","沥青混凝土","23","22.5","12","80","1969","2018","","0","否","否","非收费","","","","2.437","0","0","1","山岭","4","灵丘公路管理段","0","G108","是","修路，封闭交通，无交通量","","MTEzLjk2Mzk2MTM=","MzkuMTIwOTI5NzE=","MTEzLjk0MDM0Mjgx","MzkuMTA5OTg5NDM="
"9","G108","140224","京昆线","马头山","大同忻州界","340.947","341.305","0.358","11","一级","否","4","11","沥青混凝土","23","22.5","12","80","1969","2018","","0","否","否","非收费","","","","0.358","0","0","1","山岭","0","灵丘公路管理段","0","G108","是","修路，封闭交通，无交通量","","MTEzLjk0MDM0Mjgx","MzkuMTA5OTg5NDM=","MTEzLjkzNjQxODE2","MzkuMTA5MDgx"
"11","G108","140924","京昆线","一级路起点","一级路终点","343.151","346.757","3.606","11","一级","否","2","11","沥青混凝土","23.5","22.5","17","80","1969","2014","","0","否","否","非收费","","","","3.606","3.606","1.325","1","山岭","6","繁峙公路管理段","0","G108","是","","","MTEzLjkyMDQ5MDc2","MzkuMTE5MDIwNjI=","MTEzLjg5NzkwMzM3","MzkuMTM4NzUyMjM="
"13","G108","140924","京昆线","大修起点","大修终点","349.786","357.674","7.888","12","二级","否","2","11","沥青混凝土","8.5","7.5","9","80","1969","","2014","0","否","否","非收费","","","","7.888","7.888","7.888","1","山岭","65","繁峙公路管理段","0","G108","是","","","MTEzLjg4OTA2NTMy","MzkuMTU4OTU4MTQ=","MTEzLjg1NjQ0MTM=","MzkuMjE1MjI3MTM="
"15","G108","140924","京昆线","白坡头","大营","358.818","369.799","10.981","12","二级","否","2","12","水泥混凝土","12","11","20","80","1969","2004","","0","否","否","非收费","","","","10.981","10.981","9.911","3","微丘","17","繁峙公路管理段","0","G108","是","","","MTEzLjg0NzMyNTEy","MzkuMjIwODA5ODc=","MTEzLjc1MDg4NTY2","MzkuMjczMzQyMQ=="
"62","G108","140981","京昆线","原平外环起点","原平外环终点","489.964","494.39","4.426","12","二级","否","2","11","沥青混凝土","12","11.5","10","80","1969","2013","","0","否","否","非收费","","","","4.426","4.426","4.426","4","平原","6","原平公路管理段","0","G108","是","","","MTEyLjcyNDg5MDI5","MzguNzcwNTY5OTc=","MTEyLjY4NTcwNTYx","MzguNzUxNDI3MDU="
"81","G108","140902","京昆线","晏村","豆罗村","550.705","553.005","2.3","12","二级","否","2","11","沥青混凝土","12","11","9","80","1969","","2009","0","否","否","非收费","","","","2.3","2.3","2.3","4","平原","3","忻州公路管理段","0","G108","是","","","MTEyLjcwMjU1MjEy","MzguMzIyMjM5NDQ=","MTEyLjY5OTg1MDk3","MzguMzA1Njk5Ng=="
"82","G108","140902","京昆线","豆罗村","阳曲交界","553.005","560.945","7.94","12","二级","否","2","11","沥青混凝土","12","11","9","80","1969","","2009","0","否","否","非收费","","","","7.94","7.94","7.94","4","平原","2","忻州公路管理段","0","G108","是","","","MTEyLjY5OTg1MDk3","MzguMzA1Njk5Ng==","MTEyLjczNzkzMjM5","MzguMjQzMjY2Mzc="
"87","G108","140122","京昆线","北郑村","阳曲县黄寨村","581.747","584.056","2.309","11","一级","否","6","11","沥青混凝土","49","46.1","10","60","1993","2009","","0","否","否","非收费","","","","2.309","2.309","2.309","4","平原","0","阳曲公路段","0","G108","是","","","MTEyLjY4MDYwNDA1","MzguMDY4ODU5OTY=","MTEyLjY1OTk2MTA2","MzguMDU2OTI4MzI="
"89","G108","140122","京昆线","北塔地","北塔地村委会","584.783","585.814","1.031","11","一级","否","4","11","沥青混凝土","25","24","10","60","1993","2009","","0","否","否","非收费","","","","1.031","1.031","0.435","3","微丘","0","阳曲公路段","0","G108","是","","","MTEyLjY1OTQ0NTM4","MzguMDUwNDcwMzY=","MTEyLjY1NDg2NTI2","MzguMDQyMDc1MzY="
