"ID","路线编号","所在行政区划代码","路线名称","起点名称","止点名称","起点桩号","止点桩号","里程（公里）","技术等级代码","技术等级","是否一幅高速","车道数量(个)","面层类型代码","面层类型","路基宽度(米)","路面宽度(米)","面层厚度(厘米)","设计时速(公里/小时)","修建年度","改建年度","最近一次修复养护年度","断链类型","是否城管路段","是否断头路段","路段收费性质","重复路段线路编号","重复路段起点桩号","重复路段终点桩号","养护里程","可绿化里程","已绿化里程","地貌代码","地貌汉字","涵洞数量(个)","管养单位名称","省际出入口","国道调整前路线编号","是否按干线公路管理接养","备注","F40","startx","starty","endx","endy"
"2478","G522","140827","垣潼线","新城镇西峰山村","新城镇上王村","0","1.851","1.851","12","二级","否","2","11","沥青混凝土","12","12","6.5","60","2005","","","0","否","否","非收费","G241","894.962","896.813","1.851","1.851","1.851","1","山岭","5","垣曲公路管理段","0","S335","是","","","MTEzLjkxNjc0NQ==","MzkuNDM5Njk1","MTEzLjg5ODY3NzM4","MzkuNDQxOTUyNTM="
"2919","S102","140726","太长线","石堡寨","八茯岭","60.202","66.202","6","13","三级","否","2","12","水泥混凝土","8","8","26","40","2006","","","0","否","否","非收费","","","","6","6","4.212","1","山岭","14","太谷公路管理段","0","S102","是","","","MTEyLjg0NjQ5NDU5","MzcuMzYwOTcwNzM=","MTEyLjg3NDI4NQ==","MzcuMzMwNzA4MzM="
"2923","S102","140403","太长线","黄北村","黄中村","200.596","202.327","1.731","12","二级","否","2","11","沥青混凝土","12","9","7","80","2006","2007","","5","否","否","非收费","","","","1.731","1.731","0","3","微丘","1","长治市公路管理段","0","S102","是","","","MTEzLjEyNDc5MTY=","MzYuMzc3Mjk4NTE=","MTEzLjExNjgyMjQ3","MzYuMzYzMzA0OTc="
"2924","S102","140403","太长线","黄中村","黄南村","202.327","202.529","0.202","12","二级","否","2","11","沥青混凝土","12","9","7","80","2006","2007","","0","否","否","非收费","","","","0.202","0.202","0","3","微丘","1","长治市公路管理段","0","S102","是","","","MTEzLjExNjgyMjQ3","MzYuMzYzMzA0OTc=","MTEzLjExNzI1OTE2","MzYuMzYxNTEzMzM="
"2930","S102","140403","太长线","小辛庄","小辛庄","217.1","217.16","0.06","13","三级","否","2","12","水泥混凝土","8.5","7.5","26","40","2006","","","0","否","否","非收费","","","","0.06","0.06","0.06","3","微丘","0","长治市公路管理段","0","S102","是","","","MTEzLjExNjgyMjMy","MzYuMjMzMzQxMTg=","MTEzLjExNjk1NDk2","MzYuMjMyODM1MDU="
"2931","S102","140403","太长线","小辛庄","鹿家庄","217.16","217.6","0.44","13","三级","否","2","11","沥青混凝土","8.5","7.5","7","40","2006","","","0","否","否","非收费","","","","0.44","0.44","0.44","3","微丘","0","长治市公路管理段","0","S102","是","","","MTEzLjExNjk1NDk2","MzYuMjMyODM1MDU=","MTEzLjExODA0NDA2","MzYuMjI4OTU1MTE="
"2935","S104","140109","太高线","西铭","柴化线与太克线交叉点","0","6.471","6.471","12","二级","否","2","11","沥青混凝土","12","12","8","40","1999","2009","","0","否","否","非收费","","","","6.471","4.471","4.001","1","山岭","39","北郊公路段","0","S104","是","","","MTEyLjQyODgxNQ==","MzcuODYzMjYzMzM=","MTEyLjM5MDk5NzM2","MzcuODc4MTc2MzQ="
"2939","S104","140181","太高线","寨上村","西曲村","35.95","36.1","0.15","12","二级","否","2","11","沥青混凝土","12","11","8","60","1999","2004","","0","否","否","非收费","","","","0.15","0.15","0","2","重丘","0","古交公路段","0","S104","是","","","MTEyLjIxNjI2NzQ1","MzcuOTE5NTU5NA==","MTEyLjIxNDUyNjE=","MzcuOTE5OTc1MDY="
"2940","S104","140181","太高线","西曲村","西曲村","36.1","40","3.9","12","二级","否","2","11","沥青混凝土","12","11","8","60","1999","2004","","0","否","否","非收费","","","","3.9","3.9","3.9","2","重丘","10","古交公路段","0","S104","是","","","MTEyLjIxNDUyNjE=","MzcuOTE5OTc1MDY=","MTEyLjE3OTQ1OTk3","MzcuOTA4MjI1MDM="
"2942","S104","140181","太高线","西曲村","西曲村","41.16","41.57","0.41","11","一级","否","2","12","水泥混凝土","12","11","25","60","1999","2004","","0","否","否","非收费","","","","0.41","0.41","0","2","重丘","0","古交公路段","0","S104","是","","","MTEyLjE2Nzg1NDE5","MzcuOTEzMDE5ODQ=","MTEyLjE2MzYwNDA1","MzcuOTE0NTQ2MTQ="
"2947","S2002","140702","太原二环","榆次区什贴镇龙白村","太谷县任村乡河东村","53.199","59.865","6.666","10","高速","否","6","11","沥青混凝土","33.5","31","20","100","2011","","","0","否","否","经营","","","","6.666","6.128","5.608","4","平原","61","晋中龙城高速公路有限责任公司","0","S60","是","","","MTEyLjc3Mjk3Mzk5","MzcuNjA4NTEyNjY=","MTEyLjczNTQ4NzU2","MzcuNTU3NjQ5MTg="
"2949","S2002","140702","太原二环","榆次区东阳镇谷训村","太谷县胡村镇南席村","63.567","68.236","4.669","10","高速","否","6","11","沥青混凝土","33.5","31","20","100","2011","","","0","否","否","经营","","","","4.669","4.113","2.776","4","平原","12","晋中龙城高速公路有限责任公司","0","S60","是","","","MTEyLjcwNjMxOTEy","MzcuNTM0MzE2Njg=","MTEyLjY1NTI3MDg3","MzcuNTI0MjY4MDY="
"2983","S201","140222","马走线","平远头","新平","0.77","9.908","9.138","12","二级","否","2","11","沥青混凝土","8.5","7.9","9","60","1998","2016","","0","否","否","非收费","","","","9.138","9.138","2.05","1","山岭","16","天镇公路管理段","0","S201","是","","","MTE0LjE0OTEwODEy","NDAuNzA0OTgyMjg=","MTE0LjA3NTE5OTE2","NDAuNjYxMDM4MzM="
"2985","S201","140222","马走线","瓦窑口","高灌","27.58","30.953","3.373","12","二级","否","2","11","沥青混凝土","8.5","7.5","5","80","2006","","","4","否","否","非收费","","","","3.373","3.373","3.373","4","平原","6","天镇公路管理段","0","S201","是","","","MTE0LjEyMDM5MDE2","NDAuNTQyNTYwODM=","MTE0LjEyMTQ0Nzg1","NDAuNTEyOTI5OTQ="
"2987","S201","140222","马走线","高灌","高灌","31.085","31.35","0.265","12","二级","否","2","11","沥青混凝土","10","9","5","80","2006","","","0","否","否","非收费","","","","0.265","0.265","0.265","4","平原","1","天镇公路管理段","0","S201","是","","","MTE0LjEyMTQyMjU0","NDAuNTExNzg5MjE=","MTE0LjExOTY0Nzcx","NDAuNTA5ODQ5MDU="
"2991","S201","140222","马走线","石佛寺","石佛寺","34.395","34.85","0.455","12","二级","否","2","12","水泥混凝土","8.5","7.6","27","60","2006","","","0","否","否","非收费","","","","0.455","0.455","0","4","平原","4","天镇公路管理段","0","S201","是","","","MTE0LjExMDcxODQz","NDAuNDg0OTg3NjE=","MTE0LjEwNzkwMzA2","NDAuNDgxNTE4OTg="
"2992","S201","140222","马走线","石佛寺","张家庄","34.85","36.278","1.428","12","二级","否","2","11","沥青混凝土","10","9","5","80","2006","","","0","否","否","非收费","","","","1.428","1.408","0","4","平原","4","天镇公路管理段","0","S201","是","","","MTE0LjEwNzkwMzA2","NDAuNDgxNTE4OTg=","MTE0LjA5ODE1OTk1","NDAuNDcxMTQ0OQ=="
"2994","S201","140222","马走线","张家庄","改线起点","36.642","36.762","0.12","12","二级","否","2","11","沥青混凝土","10","9","5","80","2006","2015","","0","否","否","非收费","","","","0.12","0.12","0","4","平原","0","天镇公路管理段","0","S201","是","","","MTE0LjA5NjgwNDAx","NDAuNDY4MDQyNzc=","MTE0LjA5NjM0MTA2","NDAuNDY3MDE5NDY="
"2995","S201","140222","马走线","改线起点","重复马走线二级路起点","36.762","42.367","5.605","12","二级","否","2","11","沥青混凝土","12","11.4","9","80","2006","2015","","0","否","否","非收费","","","","5.605","5.605","0","4","平原","6","天镇公路管理段","0","S201","是","","","MTE0LjA5NjM0MTA2","NDAuNDY3MDE5NDY=","MTE0LjExNTQwMTcx","NDAuNDE5MDk0Mw=="
"2996","S201","140222","马走线","重复马走线二级路起点","鲍家屯一级路及重复201起点","42.367","43.305","0.938","11","一级","否","4","11","沥青混凝土","24","22.8","9","80","2006","2015","","0","否","否","非收费","G512","78.665","79.603","0.938","0.938","0","4","平原","0","天镇公路管理段","0","S201","是","","","MTE0LjExNTQwMTcx","NDAuNDE5MDk0Mw==","MTE0LjExMDM3MTE1","NDAuNDEzMjY4MDQ="
"2998","S201","140222","马走线","南环路口一级路重复201止点","南环路一级路止点","47.009","47.278","0.269","11","一级","否","4","11","沥青混凝土","24.5","22.8","9","80","2006","2015","","0","否","否","非收费","","","","0.269","0.269","0","4","平原","0","天镇公路管理段","0","S201","是","","","MTE0LjA2ODgwNDcz","NDAuNDAzMDYxMjk=","MTE0LjA2ODYxNzY2","NDAuNDAwODg5MTY="
"2999","S201","140222","马走线","南环路一级路止点","于八里村","47.278","48.35","1.072","12","二级","否","2","11","沥青混凝土","12","11.4","5","80","2006","2015","","0","否","否","非收费","","","","1.072","0.723","0","4","平原","0","天镇公路管理段","0","S201","是","","","MTE0LjA2ODYxNzY2","NDAuNDAwODg5MTY=","MTE0LjA3MTY0ODMz","NDAuMzkxNTM4MzM="
"3004","S201","140224","马走线","庄头","南水芦","189.725","192.006","2.281","11","一级","否","4","11","沥青混凝土","21","20","15","80","2005","2014","","0","否","否","非收费","","","","2.281","2.281","2.281","3","微丘","6","灵丘公路管理段","0","S201","是","","","MTE0LjI3ODM2OTc=","MzkuNDU3ODQxODM=","MTE0LjI3NTk3Ng==","MzkuNDM3NDU1NjI="
"3005","S201","140224","马走线","南水芦","南水芦","192.006","194.4","2.394","12","二级","否","2","11","沥青混凝土","8.5","7.9","5","80","2005","","2014","0","否","否","非收费","","","","2.394","2.394","2.394","3","微丘","7","灵丘公路管理段","0","S201","是","","","MTE0LjI3NTk3Ng==","MzkuNDM3NDU1NjI=","MTE0LjI3MTcwNjU1","MzkuNDE2MzQ1MDk="
"3009","S2011","140110","青银高速联络线","罗城","罗城互通","0","0.692","0.692","10","高速","否","6","11","沥青混凝土","28.5","24.5","15","120","2002","","2015","0","否","否","还贷","","","","0.692","0.572","0.572","4","平原","0","太原高速公路有限公司","0","G5","是","","","MTEyLjQ3NTM1NDIx","MzcuNzU1MjkxNjU=","MTEyLjQ3MjMzNDQ2","MzcuNzQ4NzA2MjM="
"3012","S202","140221","长神线","东小村","东小村","64.54","65.417","0.877","12","二级","否","2","12","水泥混凝土","12","11","25","80","2006","","","0","否","否","非收费","","","","0.877","0.449","0","3","微丘","2","阳高公路管理段","0","S202","是","","","MTEzLjg4OTcyMzk2","NDAuMDM3OTA5ODI=","MTEzLjg5Mjg5MjY5","NDAuMDMwNzUxMDg="
"3014","S203","140215","大灵线","东王庄","马连庄","5.35","6.1","0.75","12","二级","否","2","11","沥青混凝土","12","11.4","6.5","80","2004","","","0","否","否","非收费","","","","0.75","0.75","0.75","4","平原","0","大同县公路管理段","0","S203","是","","","MTEzLjM5MjE0MDYx","NDAuMDMyNzY0Mjg=","MTEzLjM5NjE1MDk=","NDAuMDI3Mzc3NTU="
"3016","S203","140215","大灵线","马连庄","马连庄","7","7.166","0.166","12","二级","否","4","11","沥青混凝土","25","24","6.5","80","2003","","","0","否","否","非收费","","","","0.166","0.166","0.166","4","平原","0","大同县公路管理段","0","S203","是","","","MTEzLjQwMTYwMTg0","NDAuMDIwMzg5OTg=","MTEzLjQwMjUxNDU2","NDAuMDE5MDc3NTQ="
